step,total_ke
0,0.480739
1000,2383265.155452
2000,390357851.674635
3000,1869700849.515754
4000,3859928692.185806
5000,5661859279.086479
6000,7742667969.289317
7000,9989840087.173788
8000,12854215331.451672
9000,14235384547.708143
10000,14938884143.190475
11000,15362452187.259666
12000,15573531524.488083
13000,15661426699.624748
14000,16234085303.709229
15000,16471481850.524254
16000,16546619491.707863
17000,16581022739.913521
18000,16610608762.446203
19000,17305604523.879848
20000,17367147850.602619
21000,17385419960.197296
22000,17397355548.453754
23000,17417903715.514828
24000,17431125505.722702
25000,17450534960.473919
