particle,pos_x,pos_y,pos_z
0,-12511.565184,-3487.203787,2948.058694
1,-5200.471028,-19442.591362,-3214.013995
2,-14783.375268,-8088.031704,-18721.040416
3,9616.755205,-8111.970437,1393.707397
4,-15804.069937,17716.378985,-10072.704863
5,7349.210586,-5293.890909,7860.916635
6,7025.001239,-3574.116945,-5413.236073
7,-14050.979412,10525.700897,940.122444
8,620.478099,10548.964137,-3585.094908
9,10438.241891,11254.944648,15362.370387
10,6499.877920,3258.539117,-15997.037186
11,-2944.095227,9451.022847,3085.870805
12,8201.410959,13599.449568,5753.864193
13,12267.634069,-16285.904648,-10809.569446
14,-18459.741236,4083.745142,17230.189595
15,-9030.128892,8338.143069,11169.685656
16,-17550.204251,3291.620087,-4978.932281
17,6026.049058,-6340.801014,12017.683887
18,7313.754800,-19292.114914,404.067165
19,-5464.099308,-10382.066909,3544.859989
20,-7298.027931,2466.492975,8064.088421
21,-7802.275795,-11906.778130,5420.296156
22,10053.215436,-7914.750443,5178.734758
23,-18961.823883,-15966.398917,-4051.066923
24,-19253.119708,-15453.869457,-320.894165
25,5273.276627,13085.674272,10286.486145
26,-818.146301,-8351.994701,-6535.280225
27,17028.352355,-16858.296847,-8642.855688
28,12993.266192,-3774.379659,-10549.426937
29,-11563.877358,913.888719,2080.974116
30,7860.369981,2251.585035,-1684.901072
31,-38047.523174,-38773.769549,-15005.918386
32,-15050.744619,-3307.167142,-12233.796802
33,-13034.534798,13583.260341,-15548.544172
34,-18449.517195,-17479.937411,15162.675216
35,5126.417648,-8244.972576,-17067.001708
36,9624.232710,-17357.395599,15333.684852
37,-5287.606090,-103.262139,10582.414789
38,3898.469929,12306.184128,-7190.679375
39,-13077.994315,4703.538533,5736.821598
40,9119.622997,-847.427309,-8068.489544
41,-728.406290,12284.892140,6206.164331
42,-3827.493364,9088.048165,-14333.552027
43,14274.028862,-15669.525402,18261.224793
44,-2718.600173,-1750.043830,3616.063284
45,540.645368,2976.017186,-17896.166079
46,-8169.260488,6620.210348,12213.155944
47,15174.316769,9393.789707,1542.681777
48,-6255.921066,16890.914099,4477.713303
49,-26720.140809,38901.598465,223027.425493
50,-15722.541627,-4529.943770,-16295.173152
51,15262.166574,-11655.435846,-1074.733266
52,2806.119820,6363.179196,14683.928276
53,-16387.955926,-5010.537694,1445.251697
54,11035.975546,14516.838249,2275.106787
55,4713.113293,19322.549208,-17893.585848
56,15988.674622,18958.868295,-9704.783152
57,-18746.948582,17160.811869,4132.240183
58,-1821.674331,4757.078182,-14211.201031
59,6963.034786,-12509.836195,-3041.132279
60,319.179794,9232.168714,-9043.297829
61,-11648.415739,1082.234179,356.201589
62,-6494.208615,-14661.570957,17103.601038
63,-4833.687683,11713.227734,137.577211
64,-10157.818293,-8966.548205,-19236.309651
65,-9652.818061,-8228.232222,5856.454348
66,19052.289881,-1719.694446,-1441.425871
67,10164.751281,14695.788352,14622.605054
68,4827.167605,4810.285195,6523.894180
69,-2587.012991,3166.737192,-5225.839509
70,-16231.404231,18698.402123,-1527.603274
71,7657.048233,-18525.883027,15986.884260
72,-4049.906028,10129.375524,8589.390766
73,15459.551443,-2444.582777,9155.031126
74,11928.540622,-12317.019898,-4149.508350
75,-14294.762500,10589.014046,18578.422893
76,8882.635661,-19102.908273,8358.162645
77,11844.143675,4740.622172,-17015.376417
78,12297.287350,7394.496365,2010.918825
79,-113.872143,-5320.526848,11023.755950
80,-18718.986941,3477.608018,6678.999628
81,17758.242211,-6607.377499,-16207.193651
82,17446.324769,-9089.333768,11018.733558
83,-14392.473964,-5688.929717,13569.016293
84,-4058.232800,-10780.695590,-13331.066975
85,-9575.048742,2096.897325,13171.882793
86,-2932.400407,-14798.292886,13117.206660
87,18759.618576,7740.598256,-16971.202843
88,9377.576707,18495.864957,17363.340004
89,-3136.401176,18232.804446,12910.076650
90,10980.857987,-12105.024742,-5158.952192
91,-8539.679614,272.022746,-1503.595067
92,-3997.739604,-16339.919045,-9062.032230
93,12398.186043,4631.252185,-1686.724938
94,-6233.865391,4630.995434,1122.020614
95,-859.296868,-833.001092,18825.381560
96,1174.928853,-17296.259684,11958.492664
97,-13838.175986,9865.376388,12435.678139
98,-4793.287491,-5907.905123,-11994.018976
99,-12072.221207,14126.225938,329.099843
100,-18434.003741,11182.610776,-13293.230860
101,-17593.792792,-5801.669745,-4246.278177
102,14388.805679,13772.285341,12467.714609
103,-5895.666841,-14958.535195,15942.113073
104,-15395.218130,12424.495394,-16506.840739
105,8876.372737,15022.108528,1764.712664
106,14693.225655,16887.959128,16750.696564
107,-2640.771995,-12375.165411,-9068.770956
108,112.757234,10884.561638,-11457.472520
109,1330.153818,8313.165744,14681.952858
110,2529.303044,8613.300470,-11188.622850
111,13312.434622,-6049.284400,-9862.769326
112,-8432.876856,15451.285971,1013.134322
113,-5663.392753,9289.509608,-19234.592252
114,13693.668436,10359.202624,-8977.368336
115,-7529.384628,8570.803289,-1523.581454
116,-6824.731998,5551.406221,-4325.666657
117,-12834.156376,8357.619225,4463.697595
118,5310.014220,-10893.761932,17663.998172
119,18147.182435,3256.672680,-6932.730727
120,-5798.159006,797.084177,-11703.289556
121,8847.027744,-11276.286171,2903.132727
122,8475.969928,-10711.148499,-6439.387812
123,-12100.112151,9675.424838,-7348.801844
124,6556.918785,17866.839344,7513.189800
125,-6031.153684,-12624.386277,-9987.894162
126,-8335.346946,-6768.290573,-5808.393467
127,-4698.833280,-6815.299081,-10158.411894
128,-1727.111707,-6067.766779,13642.174941
129,14999.623084,-14300.015696,14467.341769
130,-16648.187552,-15889.691812,19517.024816
131,-284.827382,2865.408254,-18925.119204
132,9500.523751,-12567.002767,-1560.308192
133,9614.925798,-18689.475671,-16022.023353
134,-15115.179781,13495.838017,-12052.648914
135,-146996.727836,-195845.549483,-107235.007293
136,18211.986472,-6164.930648,-8944.487836
137,-15303.680710,4925.751926,5364.630603
138,-15119.085604,-2355.646342,-8643.873914
139,-2391.495651,-8152.571944,-18344.265132
140,-12576.830872,673.664628,11463.525318
141,-11230.013859,6196.688397,-17539.925954
142,-1037.496123,-7674.038191,-15663.198714
143,-12888.993847,17206.550303,-13158.979108
144,14207.443335,7170.860118,7957.054461
145,11792.525092,-1642.790526,5171.288198
146,15801.308390,-3644.656549,8029.597256
147,-69.310347,18755.293611,9698.075463
148,-4135.279529,11876.537589,15719.003589
149,6500.303461,-6759.367488,-2121.106092
150,13791.678297,13425.754549,15701.202072
151,268493.542646,-6350.251179,-154645.587150
152,-15599.099666,3292.392050,-12663.931540
153,-6025.046264,-1637.204957,-646.194504
154,-18981.528663,-1519.861628,13397.927297
155,-6313.381062,-16152.115480,-4039.435686
156,18595.158607,-4936.916422,-244.091052
157,16782.386860,837.172782,16751.924144
158,-10226.340876,-17819.546166,-18977.337386
159,3153.603696,13840.436755,10103.338888
160,19313.849158,-11385.158389,16344.482966
161,18900.114111,14228.838567,2691.140383
162,-1154.416290,2180.718202,-7756.198924
163,8571.504623,12708.655427,17164.695677
164,-17643.858873,17717.233477,-14033.383554
165,4920.157152,-6944.528385,-6873.496475
166,1302.823667,14773.122199,13158.950893
167,-17790.557208,-5033.169648,-17045.407588
168,13320.182364,-69493.941733,-38529.228230
169,7616.141621,7777.939700,15485.356427
