step,total_vel_x,total_vel_y,total_vel_z
0,-0.001517,0.007791,0.000000
1000,0.172282,-0.274554,0.210844
2000,0.345522,-0.562353,0.431419
3000,0.508875,-0.856410,0.650862
4000,0.650438,-1.159536,0.861291
5000,0.735111,-1.476784,1.062273
6000,0.804028,-1.810573,1.249127
7000,0.844828,-2.164777,1.532387
8000,0.936213,-2.502680,1.750389
9000,0.867856,-2.911471,1.978196
10000,0.929237,-3.150605,2.079608
11000,1.034190,-3.396269,2.169705
12000,1.138430,-3.741491,2.202144
13000,1.214743,-4.037241,2.218844
14000,1.292119,-4.313638,2.235485
15000,1.383032,-4.536261,2.177712
16000,1.590025,-4.675167,2.182996
17000,1.720272,-4.685500,2.163753
18000,1.766604,-4.586851,1.932288
19000,1.986761,-4.553035,1.870053
20000,2.325788,-4.604754,1.610195
21000,2.574258,-4.520745,1.371329
22000,2.765543,-4.395913,1.231554
23000,2.930009,-4.208253,1.185353
24000,3.252398,-4.027170,1.239448
25000,3.692426,-3.650211,1.287300
26000,4.010906,-3.219919,0.946782
27000,4.242766,-2.930310,0.607147
28000,4.489380,-2.806975,0.453341
29000,4.698295,-2.548637,0.424374
30000,4.950666,-2.381854,0.594817
31000,5.341021,-2.548243,0.379947
32000,5.568762,-2.766006,0.160043
33000,5.913026,-3.220658,0.070758
34000,6.333447,-3.230864,-0.044704
35000,6.541440,-3.043052,-0.219812
36000,6.733447,-3.087237,0.022354
37000,6.938689,-3.060025,0.061909
38000,7.261436,-3.197057,0.013127
39000,7.468941,-3.484966,0.260409
40000,7.289396,-3.327906,0.506265
41000,7.207039,-3.212853,0.733236
42000,7.800796,-2.838939,1.692349
43000,8.698209,-2.892599,2.956053
44000,9.982067,-2.615817,4.605351
45000,11.666831,-1.773909,6.104125
46000,13.326730,-1.475548,7.748455
47000,15.167634,-1.374867,9.530626
48000,16.361901,-0.881647,11.541166
49000,17.577068,-0.332064,13.500244
50000,17.880265,0.640827,15.919957
