step,total_pe
0,2123077662.241795
1000,2123272256.053667
2000,2123808280.042405
3000,2124741473.071605
4000,2126003936.171781
5000,2127627910.518633
6000,2129549576.337592
7000,2131921628.919620
8000,2134669084.862521
9000,2137782830.095143
10000,2141339206.724035
11000,2145286391.676219
12000,2149641148.129681
13000,2154437945.675995
14000,2159663215.426183
15000,2165333826.837161
16000,2171459952.504894
17000,2178015058.631266
18000,2185037855.585093
19000,2192574559.487977
20000,2200643872.179189
21000,2209219587.988722
22000,2218328978.261160
23000,2227975543.046581
24000,2238221021.043047
25000,2249098237.247514
26000,2260509734.837998
27000,2272560976.034333
28000,2285294038.974335
29000,2298723516.667676
30000,2312881186.196576
31000,2327775660.227263
32000,2343492765.377414
33000,2360016340.777220
34000,2377377917.841704
35000,2395660449.937331
36000,2414902385.057419
37000,2435125261.940832
38000,2456374114.922512
39000,2478724449.019244
40000,2502305700.315260
41000,2527150907.953080
42000,2553256037.177303
43000,2580803756.513860
44000,2609775874.072058
45000,2640386863.104859
46000,2672711269.409430
47000,2706815459.002621
48000,2742818231.019168
49000,2780803832.493180
50000,2821021945.031188
