,epoch,alpha_ratio,rad_ks_metric,rad_ks_p,vert_ks_metric,vert_ks_p
0,0.0,0.51,0.4,0.04,0.48,0.01
1,1.0,0.52,0.36,0.08,0.4,0.04
2,2.0,0.53,0.36,0.08,0.4,0.04
3,3.0,0.52,0.36,0.08,0.36,0.08
4,4.0,0.53,0.36,0.08,0.32,0.16
5,5.0,0.55,0.36,0.08,0.28,0.29
6,6.0,0.57,0.28,0.29,0.24,0.48
7,7.0,0.57,0.32,0.16,0.2,0.71
8,8.0,0.59,0.28,0.29,0.2,0.71
9,9.0,0.6,0.28,0.29,0.2,0.71
10,10.0,0.62,0.28,0.29,0.2,0.71
11,11.0,0.62,0.24,0.48,0.16,0.91
12,12.0,0.65,0.24,0.48,0.16,0.91
13,13.0,0.66,0.24,0.48,0.16,0.91
14,14.0,0.69,0.2,0.71,0.16,0.91
15,15.0,0.72,0.24,0.48,0.12,1.0
16,16.0,0.75,0.24,0.48,0.12,1.0
17,17.0,0.79,0.2,0.71,0.12,1.0
18,18.0,0.81,0.24,0.48,0.12,1.0
19,19.0,0.87,0.2,0.71,0.12,1.0
20,20.0,0.91,0.2,0.71,0.12,1.0
21,21.0,0.98,0.24,0.48,0.12,1.0
22,22.0,1.05,0.24,0.48,0.16,0.91
23,23.0,1.1,0.28,0.29,0.16,0.91
24,24.0,1.23,0.2,0.71,0.16,0.91
25,25.0,1.35,0.24,0.48,0.2,0.71
26,26.0,1.51,0.24,0.48,0.2,0.71
27,27.0,1.69,0.24,0.48,0.2,0.71
28,28.0,2.01,0.24,0.48,0.24,0.48
29,29.0,2.43,0.24,0.48,0.2,0.71
30,30.0,2.93,0.28,0.29,0.16,0.91
31,31.0,3.46,0.24,0.48,0.12,1.0
32,32.0,4.55,0.28,0.29,0.16,0.91
33,33.0,7.11,0.28,0.29,0.2,0.71
34,34.0,13.69,0.28,0.29,0.4,0.04
35,35.0,2614475.85,0.24,0.48,0.6,0.0
36,36.0,65261535.05,0.28,0.29,0.56,0.0
37,37.0,62579892.5,0.28,0.29,0.56,0.0
38,38.0,34497759.74,0.28,0.29,0.56,0.0
39,39.0,136659851.7,0.28,0.29,0.52,0.0
40,40.0,105343866.23,0.24,0.48,0.52,0.0
41,41.0,69522838.34,0.24,0.48,0.56,0.0
42,42.0,70813457.56,0.28,0.29,0.52,0.0
43,43.0,75006764.76,0.28,0.29,0.48,0.01
44,44.0,58173575.72,0.24,0.48,0.52,0.0
45,45.0,256160687.18,0.2,0.71,0.56,0.0
46,46.0,75961910.68,0.28,0.29,0.52,0.0
47,47.0,80991250.03,0.28,0.29,0.56,0.0
48,48.0,148913495.93,0.24,0.48,0.56,0.0
49,49.0,92365359.89,0.24,0.48,0.6,0.0
50,50.0,76049497.04,0.24,0.48,0.52,0.0
